tarih,uyruk,ziyaretci_sayisi
2023-11-01,Malta,904
2023-11-01,Kenya,903
2023-11-01,Sudan,886
2023-11-01,Demokratik Kongo Cumhuriyeti,659
2023-11-01,Uganda,647
2023-11-01,Dominika,602
2023-11-01,Güney Kıbrıs,593
2023-11-01,Saint Kitts,558
2023-11-01,Kamerun,541
2023-11-01,Panama,497
2023-11-01,Birleşmiş Milletler,480
2023-11-01,Somali,471
2023-11-01,Vietnam,462
2023-11-01,Gana,461
2023-11-01,Küba,453
2023-11-01,Nepal,444
2023-11-01,Sri Lanka,437
2023-11-01,Tanzanya,427
2023-11-01,Kosta Rika,417
2023-11-01,Guatemala,416
2023-11-01,Çad,408
2023-11-01,Gine,370
2023-11-01,Mali,363
2023-11-01,Dominik Cumhuriyeti,335
2023-11-01,Lüksemburg,315
2023-11-01,Burkina Faso,315
2023-11-01,Moritanya,314
2023-11-01,Bolivya,296
2023-11-01,Gabon,272
2023-11-01,Honduras,244
2023-11-01,Uruguay,241
2023-11-01,Maldivler,240
2023-11-01,Sierra Leone,233
2023-11-01,Angola,217
2023-11-01,Nijer,205
2023-11-01,Zimbabve,188
2023-11-01,Kongo Cumhuriyeti,177
2023-11-01,El Salvador,172
2023-11-01,Gambiya,167
2023-11-01,Cibuti,151
2023-11-01,Brunei,141
2023-11-01,Myanmar,139
2023-11-01,İzlanda,137
2023-11-01,Trinidad ve Tobago,121
2023-11-01,Güney Sudan,104
2023-11-01,Ruanda,103
2023-11-01,Benin,100
2023-11-01,Nikaragua,100
2023-11-01,Jamaika,97
2023-11-01,Togo,87
2023-11-01,Antigua ve Barbuda,84
2023-11-01,Mozambik,78
2023-11-01,Haiti,75
2023-11-01,Kamboçya,71
2023-11-01,Paraguay,62
2023-11-01,Seyşeller,54
2023-11-01,Zambiya,52
2023-11-01,Lihtenştayn,49
2023-11-01,Grenada,48
2023-11-01,Barbados,47
2023-11-01,Makao,46
2023-11-01,Yeşil Burun Adaları,41
2023-11-01,Ekvator Ginesi,39
2023-11-01,Saint Lucia,31
2023-11-01,Burundi,29
2023-11-01,Botsvana,28
2023-11-01,Fiji,27
2023-11-01,Andorra,25
